id,gold_label,weak_label,entity,answer_span,start,end,cue,text,source,notes
gold-00001,,affirmed,心脑血管疾病,心脑血管疾病,127,133,,引发早泄的主要病因，和很多方面都相关，常见的是患者自身的心里因素，包括像压力大，情绪焦虑，以及对性生活的过于担忧等，也可能是因为患者自身缺少性知识，频繁手淫就可能导致早泄，再者，早泄的发生其实和一些疾病也是有关系的，包括前列腺和泌尿系的一些炎症感染，或是心脑血管疾病以及高血糖，早泄对男性身心造成的创伤都是较大的，建议了解病因后正确预防,dialogue_weak:早泄:answer:男科5-13000.csv:2,
gold-00002,,affirmed,泌尿系感染,泌尿系感染,114,119,,之所以会发生早泄，与很多方面都有关联，其中心理问题是比较主要的，如在性生活被人为的突然中断，亦或是受到了一些不良的外界因素影响等，也可能是因为患者自身缺少性知识，手淫过度，早泄就会发生，或是像一些疾病的发生也是早泄的诱因之一，如泌尿系感染和前列腺问题，或是心脑血管和糖尿病等，早泄对男性身心造成的创伤都是较大的，建议了解病因后正确预防,dialogue_weak:早泄:answer:男科5-13000.csv:3,
gold-00003,,affirmed,心脑血管疾病,心脑血管疾病,136,142,,早泄情况发生的原因，常见的有这几种，目前看来主要是患者心理上出现了一些问题，在性生活时受到一些不良因素的影响，或者是夫妻感情不合，另外，缺少对性的正确认知，常常自己自慰，就会导致早泄，再者，诱发早泄的还有可能是患者自身的一些其它疾病，包括前列腺和泌尿系的一些炎症感染，或是心脑血管疾病以及高血糖，所以男性要正确了解性知识，保持健康，预防早泄发生,dialogue_weak:早泄:answer:男科5-13000.csv:5,
gold-00004,,affirmed,器质性的疾病,器质性的疾病,109,115,,早射的发生诱因，主要受以下方面的影响，目前看来主要是患者心理上出现了一些问题，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，如果男性对性知识缺少了解，常常手淫就会引起早泄，或者说，患有一些器质性的疾病，常见的有前列腺和泌尿系问题，还有就是有心脑血管疾病的情况下，早泄的病因并不单一，了解后务必要正确预防,dialogue_weak:早泄:answer:男科5-13000.csv:6,
gold-00005,,affirmed,还有就是有心脑血管疾病,还有就是有心脑血管疾病,130,141,,早射的发生诱因，主要受以下方面的影响，目前看来主要是患者心理上出现了一些问题，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，如果男性对性知识缺少了解，常常手淫就会引起早泄，或者说，患有一些器质性的疾病，常见的有前列腺和泌尿系问题，还有就是有心脑血管疾病的情况下，早泄的病因并不单一，了解后务必要正确预防,dialogue_weak:早泄:answer:男科5-13000.csv:6,
gold-00006,,affirmed,早泄的病,早泄的病,146,150,,早射的发生诱因，主要受以下方面的影响，目前看来主要是患者心理上出现了一些问题，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，如果男性对性知识缺少了解，常常手淫就会引起早泄，或者说，患有一些器质性的疾病，常见的有前列腺和泌尿系问题，还有就是有心脑血管疾病的情况下，早泄的病因并不单一，了解后务必要正确预防,dialogue_weak:早泄:answer:男科5-13000.csv:6,
gold-00007,,affirmed,会有心脑血管疾病,会有心脑血管疾病,135,143,,导致出现早泄的病因，主要受到这些方面的影响，其中心理问题是比较主要的，这和目前男性生活、工作压力以及患者自身的性格都是有密切关系的，男性如果没有及时的接受性教育，手淫过度，早泄就会发生，还有如果得病了也会成为早泄的诱因之一，常见的有前列腺和泌尿系问题，或是发生股份骨折，会有心脑血管疾病，所以男性要正确了解性知识，保持健康，预防早泄发生,dialogue_weak:早泄:answer:男科5-13000.csv:7,
gold-00008,,affirmed,早泄的常见病,早泄的常见病,0,6,,早泄的常见病因，受到这些方面的影响，心理因素是比较常见的，男性在性生活的过程中被迫中断，或是受到一些惊吓，亦或是一些不良的外界因素干扰等，很多缺乏性知识的男性，经常自慰手淫就会成为早泄导火索，还有比较严重的一点，那就是一些器质性疾病的发生，常见的疾病主要是前列腺和泌尿系，或有糖尿病或是骨折等，这边建议你在了解了早泄病因之后是可以去正确进行预防的,dialogue_weak:早泄:answer:男科5-13000.csv:8,
gold-00009,,affirmed,常见的疾病,常见的疾病,120,125,,早泄的常见病因，受到这些方面的影响，心理因素是比较常见的，男性在性生活的过程中被迫中断，或是受到一些惊吓，亦或是一些不良的外界因素干扰等，很多缺乏性知识的男性，经常自慰手淫就会成为早泄导火索，还有比较严重的一点，那就是一些器质性疾病的发生，常见的疾病主要是前列腺和泌尿系，或有糖尿病或是骨折等，这边建议你在了解了早泄病因之后是可以去正确进行预防的,dialogue_weak:早泄:answer:男科5-13000.csv:8,
gold-00010,,affirmed,或有糖尿病,或有糖尿病,136,141,,早泄的常见病因，受到这些方面的影响，心理因素是比较常见的，男性在性生活的过程中被迫中断，或是受到一些惊吓，亦或是一些不良的外界因素干扰等，很多缺乏性知识的男性，经常自慰手淫就会成为早泄导火索，还有比较严重的一点，那就是一些器质性疾病的发生，常见的疾病主要是前列腺和泌尿系，或有糖尿病或是骨折等，这边建议你在了解了早泄病因之后是可以去正确进行预防的,dialogue_weak:早泄:answer:男科5-13000.csv:8,
gold-00011,,affirmed,这边建议你在了解了早泄病,这边建议你在了解了早泄病,147,159,,早泄的常见病因，受到这些方面的影响，心理因素是比较常见的，男性在性生活的过程中被迫中断，或是受到一些惊吓，亦或是一些不良的外界因素干扰等，很多缺乏性知识的男性，经常自慰手淫就会成为早泄导火索，还有比较严重的一点，那就是一些器质性疾病的发生，常见的疾病主要是前列腺和泌尿系，或有糖尿病或是骨折等，这边建议你在了解了早泄病因之后是可以去正确进行预防的,dialogue_weak:早泄:answer:男科5-13000.csv:8,
gold-00012,,affirmed,心脑血管疾病,心脑血管疾病,123,129,,男性早泄的主因，和很多方面都相关，心理问题是其中比较主要的因素，比如过去性生活时受到过惊吓，有不愉快的体验等，另外，缺少性知识，经常自慰手淫就会成为早泄导火索，再者，早泄的发生其实和一些疾病也是有关系的，常见的有前列腺和泌尿系问题，或是血糖偏高，心脑血管疾病等，所以男性要正确了解性知识，保持健康，预防早泄发生,dialogue_weak:早泄:answer:男科5-13000.csv:10,
gold-00013,,affirmed,器质性疾病,器质性疾病,114,119,,发生早射的原因，和很多方面都有关系，心理问题的发生是其中比较主要的一点，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，除心理因素之外，男性如果缺少对性知识的认知，手淫过度，早泄就会发生，再者，像一些器质性疾病也会导致早泄发生，比如一些男性疾病，前列腺炎、前列腺增生等，或是糖尿病，心脑血管病变等，所以导致早泄发生的因素很多，要从多方面入手进行预防,dialogue_weak:早泄:answer:男科5-13000.csv:11,
gold-00014,,affirmed,前列腺炎,前列腺炎,137,141,,发生早射的原因，和很多方面都有关系，心理问题的发生是其中比较主要的一点，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，除心理因素之外，男性如果缺少对性知识的认知，手淫过度，早泄就会发生，再者，像一些器质性疾病也会导致早泄发生，比如一些男性疾病，前列腺炎、前列腺增生等，或是糖尿病，心脑血管病变等，所以导致早泄发生的因素很多，要从多方面入手进行预防,dialogue_weak:早泄:answer:男科5-13000.csv:11,
gold-00015,,affirmed,糖尿病,糖尿病,151,154,,发生早射的原因，和很多方面都有关系，心理问题的发生是其中比较主要的一点，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，除心理因素之外，男性如果缺少对性知识的认知，手淫过度，早泄就会发生，再者，像一些器质性疾病也会导致早泄发生，比如一些男性疾病，前列腺炎、前列腺增生等，或是糖尿病，心脑血管病变等，所以导致早泄发生的因素很多，要从多方面入手进行预防,dialogue_weak:早泄:answer:男科5-13000.csv:11,
gold-00016,,affirmed,心脑血管病,心脑血管病,155,160,,发生早射的原因，和很多方面都有关系，心理问题的发生是其中比较主要的一点，比如一些男性可能幼时看到过一些不良的事件，或是第一次的性体验并不是很愉快等，除心理因素之外，男性如果缺少对性知识的认知，手淫过度，早泄就会发生，再者，像一些器质性疾病也会导致早泄发生，比如一些男性疾病，前列腺炎、前列腺增生等，或是糖尿病，心脑血管病变等，所以导致早泄发生的因素很多，要从多方面入手进行预防,dialogue_weak:早泄:answer:男科5-13000.csv:11,
